Date,Close,Open,High,Low,Volume
2023-08-02,81306.23,81306.23,81306.23,81306.23,0
2023-08-03,80933.9,80933.9,80933.9,80933.9,0
2023-08-04,81650.46,81650.46,81650.46,81650.46,0
2023-08-07,81398.14,81398.14,81398.14,81398.14,0
2023-08-08,81643.37,81643.37,81643.37,81643.37,0
2023-08-09,81269.52,81269.52,81269.52,81269.52,0
2023-08-10,81342.16,81342.16,81342.16,81342.16,0
2023-08-11,81866.21,81866.21,81866.21,81866.21,0
2023-08-14,82116.45,82116.45,82116.45,82116.45,0
2023-08-16,81893.44,81893.44,81893.44,81893.44,0
2023-08-17,81651.83,81651.83,81651.83,81651.83,0
2023-08-18,81641.28,81641.28,81641.28,81641.28,0
2023-08-21,81431.79,81431.79,81431.79,81431.79,0
2023-08-22,81801.63,81801.63,81801.63,81801.63,0
2023-08-23,82059.54,82059.54,82059.54,82059.54,0
2023-08-24,81424.88,81424.88,81424.88,81424.88,0
2023-08-25,81655.58,81655.58,81655.58,81655.58,0
2023-08-28,81728.2,81728.2,81728.2,81728.2,0
2023-08-29,81706.39,81706.39,81706.39,81706.39,0
2023-08-30,82639.14,82639.14,82639.14,82639.14,0
2023-08-31,82759.2,82759.2,82759.2,82759.2,0
2023-09-01,82387.59,82387.59,82387.59,82387.59,0
2023-09-04,82262.31,82262.31,82262.31,82262.31,0
2023-09-05,82834.95,82834.95,82834.95,82834.95,0
2023-09-06,82475.35,82475.35,82475.35,82475.35,0
2023-09-07,82607.0,82607.0,82607.0,82607.0,0
2023-09-08,82529.03,82529.03,82529.03,82529.03,0
2023-09-11,82400.41,82400.41,82400.41,82400.41,0
2023-09-12,81663.23,81663.23,81663.23,81663.23,0
2023-09-13,81781.7,81781.7,81781.7,81781.7,0
2023-09-14,81354.15,81354.15,81354.15,81354.15,0
2023-09-15,82044.77,82044.77,82044.77,82044.77,0
2023-09-18,82161.55,82161.55,82161.55,82161.55,0
2023-09-19,82488.6,82488.6,82488.6,82488.6,0
